text-small,f-m-20,f-m-20 2,d-iblock,d-iblock 2,d-iblock 3,d-iblock 4,d-iblock 5,
"31 Okt 2025
					21:47:38",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],MEDC,Checklist Pengungkapan FS 30 Sep 25.pdf,CL_FS 30 September 25.pdf,FinancialStatement-2025-III-MEDC.xlsx,FS 30 September 25_MedcoEnergi.pdf,inlineXBRL.zip,"Laporan keuangan MEDC yang tidak diaudit menunjukkan kinerja keuangan dengan perolehan laba bersih mencapai 85,64 juta. Pada periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 1,75 milliar. Selain itu, total aset Medco Energi Internasional tumbuh dan mencapai 8,42 milliar pada akhir periode tersebut"
"31 Okt 2025
					21:59:09",Jadwal Dividen Tunai Interim (KOREKSI) [],MEDC,20251031_MEDC_Jadwal Aksi Korporasi (Khusus Penyampaian Dividen Interim)_31981094_lamp1.pdf,20251031_MEDC_Jadwal Aksi Korporasi (Khusus Penyampaian Dividen Interim)_31981094_lamp2.pdf,,,,MEDC melaporkan koreksi jadwal rencana pembagian dividen tunai interim dengan total nilai sebesar USD42.000.000 yang bersumber dari laba bersih yang dapat diatribusikan kepada entitas induk sebesar USD85.648.479
"07 Okt 2025
					11:02:20","Siaran Pers - PGN Terus Turunkan Emisi Karbon, Angkanya Capai 24.861 Ton CO2e []",PGAS,20251007_PGAS_Laporan Informasi dan Fakta Material_31965105_lamp2.pdf,20251007_PGAS_Laporan Informasi dan Fakta Material_31965105_lamp1.pdf,,,,"PGAS menyampaikan siaran pers mengenai keberhasilan perusahaan dalam menurunkan emisi karbon hingga mencapai 24.861 ton CO2e sebagai bentuk komitmen terhadap pencapaian target emisi nol bersih melalui efisiensi operasional, optimalisasi pemanfaatan gas bumi, serta pengembangan proyek biomethane"
"07 Okt 2025
					15:49:08",Laporan Bulanan Registrasi Pemegang Efek [],PGAS,20251007_PGAS_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965407_lamp4.pdf,20251007_PGAS_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965407_lamp2.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek PGAS menunjukkan penurunan pemegang saham sebanyak 2.801 pemegang
"31 Okt 2025
					14:42:50",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],PGAS,9M-2025 Consolidated Financial Statement.pdf,FinancialStatement-2025-III-PGAS.xlsx,inlineXBRL.zip,instance.zip,K068300 Penyampaian LK PGN per 30 Sep 2025.pdf,"Laporan keuangan PGAS yang tidak diaudit menunjukkan kinerja keuangan yang tercatat dengan perolehan laba bersih mencapai 3,97 triliun. Sepanjang periode tersebut, pendapatan usaha perseroan tercatat sebesar 48,79 triliun. Selain itu, total aset PGAS tercatat mencapai 102,50 triliun pada akhir periode tersebut"
"31 Okt 2025
					15:05:13",Siaran Pers - PGN Perkuat Fundamental Bisnis dan Kelola Dinamika Bisnis di Triwulan III [],PGAS,20251031_PGAS_Laporan Informasi dan Fakta Material_31981188_lamp1.pdf,20251031_PGAS_Laporan Informasi dan Fakta Material_31981188_lamp2.pdf,,,,"PGAS menyampaikan siaran pers mengenai penguatan fundamental bisnis dan pengelolaan dinamika bisnis melalui pencapaian pendapatan sebesar USD 2,9 miliar, laba bersih sebesar USD 237,9 juta, serta pertumbuhan positif pada segmen operasional dan jumlah pelanggan"
"01 Okt 2025
					10:42:31",Pencatatan Saham [],PGEO,20250930_PGEO_Pencatatan Saham Tambahan dari Konversi_31953246_lamp1.pdf,,,,,"PGEO melaporkan penambahan saham baru hasil pelaksanaan program opsi saham manajemen dan karyawan untuk tahap satu, tahap dua, dan tahap tiga dengan total sebanyak 1.560.999 saham sehingga total saham ditempatkan dan disetor penuh meningkat menjadi 41.808.086.596 saham"
"02 Okt 2025
					20:14:51",Pencatatan Saham [],PGEO,20251002_PGEO_Pencatatan Saham Tambahan dari Konversi_31953849_lamp1.pdf,,,,,"PGEO melaporkan penambahan saham baru hasil pelaksanaan program opsi saham manajemen dan karyawan untuk tahap satu, tahap dua, dan tahap tiga dengan total sebanyak 1.802.673 saham sehingga jumlah saham ditempatkan dan disetor penuh bertambah menjadi 41.809.889.269 saham"
"02 Okt 2025
					20:27:49",Pencatatan Saham [],PGEO,20251001_PGEO_Pencatatan Saham Tambahan dari Konversi_31953566_lamp1.pdf,,,,,"PGEO melaporkan pencatatan saham tambahan hasil pelaksanaan program opsi saham manajemen dan karyawan untuk tahap satu sebanyak 589.354 saham, tahap dua sebanyak 496.900 saham, dan tahap tiga sebanyak 716.419 saham, sehingga total saham tercatat setelah pelaksanaan opsi bertambah menjadi 41.809.889.269 saham"
"03 Okt 2025
					17:19:07",Pencatatan Saham [],PGEO,20251003_PGEO_Pencatatan Saham Tambahan dari Konversi_31954202_lamp1.pdf,,,,,"PGEO melaporkan pencatatan saham tambahan hasil pelaksanaan program opsi saham manajemen dan karyawan untuk tahap satu sebanyak 170.374 saham, tahap dua sebanyak 2.416.085 saham, dan tahap tiga sebanyak 2.567.462 saham, sehingga total saham tercatat setelah pelaksanaan opsi bertambah menjadi 41.815.763.396 saham"
"06 Okt 2025
					17:06:16",Laporan Bulanan Registrasi Pemegang Efek [],PGEO,20251006_PGEO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964841_lamp8.pdf,20251006_PGEO_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964841_lamp3.pdf,,,,"Laporan Bulanan Registrasi Pemegang Efek PGEO menunjukkan kenaikan saham scripless dari 10,826% menjadi 10,889%, kenaikan free float dari 10,83% menjadi 10,89%, dan kenaikan pemegang saham sebanyak 3.802 pemegang"
"07 Okt 2025
					17:39:27",Penyertaan modal ke anak usaha PT Pertamina Geothermal Energy Kotamobagu [],PGEO,20251007_PGEO_Laporan Informasi dan Fakta Material_31965524_lamp1.pdf,,,,,PGEO melaporkan penyertaan modal kepada anak usahanya yaitu PT Pertamina Geothermal Energy Kotamobagu guna mempercepat pengembangan proyek di WKP Kotamobagu yang berpotensi menghasilkan listrik panas bumi sebesar 280 MW serta mendukung target kapasitas terpasang mandiri 1 GW
"08 Okt 2025
					18:12:43",Perubahan Komite Audit [],PGEO,,,,,,PGEO melaporkan perubahan susunan keanggotaan komite audit perseroan dengan pengangkatan anggota baru menggantikan anggota lama untuk periode pertama
"14 Okt 2025
					21:46:59","Keterbukaan lnformasi Sehubungan dengan Hasil Pelaksanaan Program Management and Employee Stock  Option Program (MESOP) Tahap I (Exercise Keempat), Tahap II (Exercise Ketiga), dan Tahap III (Exercise Pertama) PT Pertamina Geothermal Energy Tbk []",PGEO,20251014_PGEO_Laporan Informasi dan Fakta Material_31967469_lamp1.pdf,,,,,"PGEO melaporkan hasil pelaksanaan Program Opsi Kepemilikan Saham Manajemen dan Karyawan untuk tahap satu pelaksanaan keempat, tahap dua pelaksanaan ketiga, dan tahap tiga pelaksanaan pertama"
"20 Okt 2025
					14:23:56",Rencana Penyelenggaraan Public Expose - Tahunan [],PGEO,20251020_PGEO_Public Expose_31978450_lamp1.pdf,,,,,"PGEO melaporkan rencana penyelenggaraan Public Expose Tahunan secara daring melalui Zoom Webinar dengan agenda pemaparan Direksi Perseroan terkait kinerja perusahaan periode sembilan bulan, mencakup kondisi terkini serta rencana pengembangan perseroan"
"20 Okt 2025
					19:08:58",Penyampaian Materi pada Acara Indonesia Day [],PGEO,20251020_PGEO_Laporan Informasi dan Fakta Material_31978569_lamp1.pdf,20251020_PGEO_Laporan Informasi dan Fakta Material_31978569_lamp2.pdf,,,,PGEO menyampaikan penyampaian materi presentasi perseroan sehubungan dengan keikutsertaannya dalam acara Indonesia Day di Singapura sebagai pemenuhan kewajiban keterbukaan informasi
"26 Okt 2025
					09:59:02",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],PGEO,FinancialStatement-2025-III-PGEO.xlsx,inlineXBRL.zip,instance.zip,OJK Checklist 30 September 2025.pdf,Pertamina Geothermal Energy 30 September 2025.pdf,"Laporan keuangan PGEO yang tidak diaudit menunjukkan kinerja keuangan yang mencatatkan laba bersih mencapai Rp1.740,60 miliar. Sepanjang periode sembilan bulan tersebut, pendapatan usaha perseroan tercatat sebesar Rp5.322,43 miliar. Selain itu, total aset PGEO tercatat mencapai Rp49.447,01 miliar pada akhir periode tersebut"
"29 Okt 2025
					20:54:20",Penyampaian Materi Public Expose - Tahunan [],PGEO,20251029_PGEO_Public Expose_31980613_lamp1.pdf,,,,,"PGEO menyampaikan materi presentasi Public Expose Tahunan mengenai capaian kinerja operasional dan keuangan, strategi pengembangan bisnis pembangkit listrik tenaga panas bumi, serta kinerja keberlanjutan perseroan"
"07 Okt 2025
					11:48:12",Laporan Bulanan Aktivitas Eksplorasi [],PTBA,20251007_PTBA_Laporan Bulanan Aktivitas Eksplorasi_31965259_lamp1.pdf,20251007_PTBA_Laporan Bulanan Aktivitas Eksplorasi_31965259_lamp2.pdf,,,,"PTBA melaporkan bahwa aktivitas eksplorasi oleh PT Bukit Asam Tbk berupa coring, open hole, dan logging geofisika dengan biaya 21.140.000.000, pengambilan sampel batubara dan batuan dengan biaya 7.520.000.000, pemantauan ToC-BoC front tambang dengan biaya 190.000.000, serta kegiatan penunjang eksplorasi dan biaya umum dengan biaya 2.840.000.000 di area Muara Tiga Besar, Air Laya, Banko Barat, Banko Tengah A, dan Banko Tengah B"
"07 Okt 2025
					14:13:40",Laporan Bulanan Registrasi Pemegang Efek [],PTBA,20251007_PTBA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965350_lamp4.pdf,20251007_PTBA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965350_lamp3.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek PTBA menunjukkan peningkatan pemegang saham sebanyak 2.680 pemegang
"13 Okt 2025
					14:01:12",Perubahan Internal Audit [],PTBA,20251013_PTBA_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31966982_lamp1.pdf,,,,,PTBA melaporkan penetapan pejabat definitif untuk posisi kepala divisi audit internal perseroan
"13 Okt 2025
					14:01:31",Perubahan Corporate Secretary [],PTBA,20251013_PTBA_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31966977_lamp1.pdf,,,,,PTBA melaporkan perubahan corporate secretary yang efektif pada tanggal pemberitahuan
"30 Okt 2025
					15:36:38",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],PTBA,Checklist Pengungkapan TW 3 Tahun 2025_Final-1.pdf,FinancialStatement-2025-III-PTBA.xlsx,FS PTBA Triwulan III 2025.pdf,inlineXBRL.zip,instance.zip,"Laporan keuangan PTBA yang tidak diaudit menunjukkan kinerja keuangan dengan perolehan laba bersih mencapai 1,40 milliar. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar 31,33 milliar. Selain itu, total aset Bukit Asam tumbuh dan mencapai 42,84 milliar pada akhir periode tersebut"
"30 Okt 2025
					15:42:13","Kinerja Operasional Terjaga, Bukit Asam (PTBA) Bukukan Laba Rp1,4 Triliun []",PTBA,20251030_PTBA_Laporan Informasi dan Fakta Material_31980834_lamp1.pdf,,,,,"PTBA melaporkan pembukuan laba bersih sebesar Rp1,4 Triliun dan pendapatan sebesar Rp31,3 Triliun yang didukung oleh kenaikan volume produksi serta penjualan di tengah penurunan harga batu bara global"
"10 Okt 2025
					02:37:10",Laporan Bulanan Registrasi Pemegang Efek [],SCMA,20251010_SCMA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31966483_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek SCMA menunjukkan penurunan saham scripless dari 13,83% menjadi 13,24%, penurunan free float dari 13,82% menjadi 13,23%, dan penurunan pemegang saham sebanyak 3.821 pemegang"
"31 Okt 2025
					16:54:12",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],SCMA,FinancialStatement-2025-III-SCMA.xlsx,inlineXBRL.zip,instance.zip,SCMA - LapKeu Sep 2025.pdf,SPD_SCMA_September 2025_Signed.pdf,"SCMA menyampaikan laporan keuangan yang tidak diaudit dengan perolehan laba bersih sebesar 525,12 miliar, penjualan dan pendapatan usaha tercatat sebesar 5.046,43 miliar, serta total aset mencapai 10.032,53 miliar"
"07 Okt 2025
					11:55:22",Laporan Bulanan Registrasi Pemegang Efek [],SMGR,20251007_SMGR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965112_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek SMGR menunjukkan penurunan pemegang saham sebanyak 1.353 pemegang
"20 Okt 2025
					13:52:37",Laporan Penyampaian Kesiapan Dana untuk Pembayaran Obligasi Berkelanjutan II Tahap I Seri A [],SMGR,20251020_SMGR_Laporan Informasi dan Fakta Material_31978437_lamp1.pdf,,,,,"SMGR menyampaikan kesiapan dana untuk pembayaran pokok Obligasi Berkelanjutan II Tahap I Seri A sebesar Rp290.850.000.000,00 beserta bunga ke-12 sebesar Rp5.235.300.000,00 yang akan dibayarkan kepada PT Kustodian Sentral Efek Indonesia tanpa memberikan dampak negatif terhadap kegiatan operasional, hukum, kondisi keuangan, maupun kelangsungan usaha perseroan"
"23 Okt 2025
					00:09:47",Perubahan Komite Audit [],SMGR,20251022_SMGR_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31979112_lamp1.pdf,,,,,SMGR melaporkan perubahan susunan keanggotaan komite audit perseroan melalui pengangkatan anggota baru untuk menggantikan anggota lama guna memenuhi ketentuan regulator
"23 Okt 2025
					16:36:53",Perubahan Komite Audit (KOREKSI) [],SMGR,20251023_SMGR_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31979301_lamp2.pdf,20251023_SMGR_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31979301_lamp1.pdf,,,,SMGR melaporkan pengoreksian atas keterbukaan informasi sebelumnya terkait perubahan susunan keanggotaan komite audit perseroan sehubungan dengan berakhirnya masa jabatan salah satu anggota komite audit dan pengangkatan penggantinya untuk meneruskan sisa masa jabatan
"31 Okt 2025
					19:03:33",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],SMGR,FinancialStatement-2025-III-SMGR.xlsx,inlineXBRL.zip,instance.zip,PT SEMEN INDONESIA Q3 2025.pdf,SMGR_Surat Pengantar LK Q3 2025.pdf,"SMGR menyampaikan laporan keuangan interim tidak diaudit yang mencatatkan total aset sebesar 76.402.453 juta Rupiah, total liabilitas 28.657.088 juta Rupiah, total ekuitas 47.745.365 juta Rupiah, serta laba periode berjalan yang dapat diatribusikan kepada pemilik entitas induk sebesar 114.837 juta Rupiah"
"02 Okt 2025
					13:24:52",Laporan Transaksi Afiliasi [],SMRA,20251002_SMRA_Laporan Informasi dan Fakta Material_31953769_lamp1.pdf,,,,,"SMRA melaporkan transaksi afiliasi berupa pengurangan penyertaan modal oleh PT Summarecon Property Development dan PT Sumitomo Forestry (Singapore) Ltd. pada perusahaan terkendali perseroan, yaitu PT Summa Sinar Fajar, masing-masing sebesar Rp15,3 miliar dan Rp14,7 miliar"
"07 Okt 2025
					16:30:22",Laporan Bulanan Registrasi Pemegang Efek [],SMRA,20251006_SMRA_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965038_lamp1.pdf,,,,,Laporan Bulanan Registrasi Pemegang Efek SMRA menunjukkan peningkatan pemegang saham sebanyak 859 pemegang
"21 Okt 2025
					13:31:37",Laporan Transaksi Afiliasi  [],SMRA,20251021_SMRA_Laporan Informasi dan Fakta Material_31978620_lamp1.pdf,,,,,"SMRA melaporkan transaksi afiliasi berupa penambahan penyertaan modal oleh PT Serpong Cipta Kreasi sebesar Rp583.387.200.000 dan PT Variatata sebesar Rp388.924.800.000 pada perusahaan terkendali perseroan, yaitu PT Serpong Cahaya Harmoni"
"31 Okt 2025
					12:54:45",Rencana Penyampaian Laporan Keuangan Kuartal III Ditelaah secara terbatas [],SMRA,20251031_SMRA_Rencana Penyampaian Laporan Keuangan_31980998_lamp1.pdf,,,,,SMRA menginformasikan rencana penyampaian laporan keuangan konsolidasi interim kuartal ketiga yang akan ditelaah secara terbatas oleh kantor akuntan publik sehubungan dengan rencana aksi korporasi yang akan dilakukan oleh perseroan
"09 Okt 2025
					08:57:23",Laporan Bulanan Registrasi Pemegang Efek [],TLKM,20251008_TLKM_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31965818_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek TLKM menunjukkan kenaikan saham scrip dari 0,0518% menjadi 0,0529%, kenaikan saham scripless dari 47,8447% menjadi 47,847%, dan penurunan pemegang saham sebanyak 3.515 pemegang"
"21 Okt 2025
					07:30:46",Penandatanganan Perjanjian Pemisahan Bersyarat dengan PT Telkom Infrastruktur Indonesia [],TLKM,20251020_TLKM_Laporan Informasi dan Fakta Material_31978572_lamp2.pdf,20251020_TLKM_Laporan Informasi dan Fakta Material_31978572_lamp1.pdf,,,,"TLKM melaporkan penandatanganan Perjanjian Pemisahan Bersyarat sehubungan dengan rencana pemisahan tidak murni atas sebagian bisnis dan aset Wholesale Fiber Connectivity senilai Rp35.787.258.000.000 kepada anak usahanya, PT Telkom Infrastruktur Indonesia"
"21 Okt 2025
					15:41:26",Pemberitahuan Rencana Rapat Umum Pemegang Saham Luar Biasa [],TLKM,20251021_TLKM_Pengumuman RUPS_31978673_lamp1.pdf,20251021_TLKM_Pengumuman RUPS_31978673_lamp2.pdf,,,,TLKM menyampaikan pemberitahuan rencana penyelenggaraan Rapat Umum Pemegang Saham Luar Biasa yang dilaksanakan secara daring melalui fasilitas Electronic General Meeting System KSEI beserta ketentuan penentuan daftar pemegang saham yang berhak hadir dan persyaratan pengusulan mata acara rapat
"21 Okt 2025
					15:51:02",Transaksi Material Tanpa Persetujuan RUPS [],TLKM,20251021_TLKM_Transaksi Material Tanpa Persetujuan RUPS_31978720_lamp1.pdf,20251021_TLKM_Transaksi Material Tanpa Persetujuan RUPS_31978720_lamp2.pdf,,,,"TLKM melaporkan keterbukaan informasi atas rencana transaksi material dan transaksi afiliasi tanpa persetujuan RUPS terkait pengalihan sebagian bisnis dan aset Wholesale Fiber Connectivity senilai Rp35.787.258.000.000 melalui pemisahan tidak murni (spin-off) kepada anak usahanya, PT Telkom Infrastruktur Indonesia, dengan kompensasi penerbitan saham baru"
"21 Okt 2025
					19:09:57",Penyampaian Materi pada Acara Indonesia Day [],TLKM,20251021_TLKM_Laporan Informasi dan Fakta Material_31978725_lamp1.pdf,20251021_TLKM_Laporan Informasi dan Fakta Material_31978725_lamp2.pdf,,,,"TLKM menyampaikan materi presentasi mengenai rencana transformasi perusahaan menuju strategic holding, strategi peningkatan total shareholder return, serta pembentukan struktur korporasi baru pada acara Indonesia Day"
"30 Okt 2025
					20:20:21",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],TLKM,FinancialStatement-2025-III-TLKM.xlsx,FS Telkom Triwulan III 2025_Bahasa rilis.pdf,FS Telkom Triwulan III 2025_Eng release.pdf,inlineXBRL.zip,instance.zip,"Laporan keuangan TLKM yang tidak diaudit menunjukkan kinerja keuangan dengan perolehan laba bersih mencapai Rp20,60 triliun. Sepanjang periode tersebut, penjualan dan pendapatan usaha perseroan tercatat sebesar Rp109,62 triliun. Selain itu, total aset Telkom tercatat sebesar Rp291,90 triliun pada akhir periode tersebut"
"06 Okt 2025
					10:59:09",Laporan Bulanan Registrasi Pemegang Efek [],TOWR,20251006_TOWR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964615_lamp1.pdf,,,,,"Laporan Bulanan Registrasi Pemegang Efek TOWR menunjukkan kenaikan saham scripless dari 32,6641% menjadi 32,8187%, penurunan saham treasury dari 1,6547% menjadi 1,5001%, kenaikan free float dari 32,66% menjadi 32,82%, dan kenaikan pemegang saham sebanyak 968 pemegang"
"10 Okt 2025
					17:41:04",Penandatanganan Perubahan Perjanjian Kredit dan Perubahan Perjanjian Transaksi Valuta Asing antara Protelindo dan Iforte sebagai Peminjam dengan PT Bank Maybank Indonesia Tbk [],TOWR,20251010_TOWR_Laporan Informasi dan Fakta Material_31966662_lamp1.pdf,,,,,"TOWR melaporkan penandatanganan Perubahan Perjanjian Kredit dan Perubahan Perjanjian Transaksi Valuta Asing antara entitas anak usahanya, PT Profesional Telekomunikasi Indonesia dan PT Iforte Solusi Infotek sebagai peminjam secara tanggung renteng, dengan PT Bank Maybank Indonesia Tbk selaku pemberi pinjaman sehubungan perpanjangan jangka waktu fasilitas hingga satu tahun ke depan"
"30 Okt 2025
					11:08:42",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],TOWR,FinancialStatement-2025-III-TOWR.xlsx,FS PT Sarana Menara Nusantara Tbk 30 Sep 2025.pdf,inlineXBRL.zip,instance.zip,,"Laporan keuangan TOWR yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai 2.553,17 miliar. Sepanjang periode tersebut, pendapatan usaha perseroan tercatat sebesar 9.686,70 miliar. Selain itu, total aset TOWR tumbuh dan mencapai 78.294,74 miliar pada akhir periode tersebut"
"30 Okt 2025
					18:53:51","Penandatanganan Perubahan Perjanjian Kredit atas Perjanjian Kredit antara Protelindo, Iforte, SUPR, IBST sebagai Peminjam dengan PT Bank CIMB Niaga Tbk []",TOWR,20251030_TOWR_Laporan Informasi dan Fakta Material_31980937_lamp1.pdf,,,,,"TOWR melaporkan penandatanganan Perubahan Perjanjian Kredit atas Perjanjian Kredit senilai Rp2.000.000.000.000 antara PT Bank CIMB Niaga Tbk selaku pemberi pinjaman dengan entitas anak usahanya, yaitu PT Profesional Telekomunikasi Indonesia, PT Iforte Solusi Infotek, PT Solusi Tunas Pratama Tbk, dan PT Inti Bangun Sejahtera Tbk selaku para peminjam sehubungan perpanjangan jangka waktu fasilitas kredit"
"01 Okt 2025
					17:15:14",Transaksi Afiliasi [],UNTR,20251001_UNTR_Informasi Transaksi Afiliasi_31953549_lamp1.pdf,,,,,"UNTR melaporkan transaksi afiliasi berupa peningkatan penyertaan saham senilai Rp41.496.000.000 yang melibatkan anak-anak usahanya, yaitu PT Energia Prima Nusantara, PT Supreme Energy Sriwijaya, dan PT Supreme Energy Rantau Dedap"
"03 Okt 2025
					16:19:42",Transaksi Afiliasi [],UNTR,20251003_UNTR_Informasi Transaksi Afiliasi_31954265_lamp1.pdf,,,,,UNTR melaporkan transaksi afiliasi berupa pengambilbagian 184.621.499 lembar saham baru senilai Rp18.462.149.900 oleh PT Energia Prima Nusantara pada PT Supreme Energy Sriwijaya guna mempertahankan porsi kepemilikan saham serta memenuhi kebutuhan tambahan modal kerja anak usahanya
"06 Okt 2025
					14:51:07",Laporan Bulanan Registrasi Pemegang Efek [],UNTR,20251006_UNTR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964598_lamp1.pdf,20251006_UNTR_Laporan Bulanan Registrasi Pemegang Efek/Perubahan Struktur Pemegang Saham_31964598_lamp3.pdf,,,,Laporan Bulanan Registrasi Pemegang Efek UNTR menunjukkan penurunan pemegang saham sebanyak 3.295 pemegang
"10 Okt 2025
					15:24:50",Laporan Bulanan Aktivitas Eksplorasi [],UNTR,20251010_UNTR_Laporan Bulanan Aktivitas Eksplorasi_31966591_lamp1.pdf,,,,,UNTR melaporkan bahwa aktivitas eksplorasi dilakukan sebagaimana rincian dalam file terlampir dengan biaya sebesar 12.352.596.629
"15 Okt 2025
					00:00:54",Penjelasan atas Pemberitaan Media Massa [],UNTR,20251014_UNTR_Tanggapan atas Permintaan Penjelasan Bursa_31967474_lamp1.pdf,,,,,"UNTR menyampaikan surat tanggapan kepada PT Bursa Efek Indonesia terkait permintaan klarifikasi atas pemberitaan media massa mengenai dugaan penjualan solar di bawah harga pasar, dengan melampirkan dokumen penjelasan resmi dari perseroan"
"15 Okt 2025
					07:38:16",Perubahan Corporate Secretary [],UNTR,20251015_UNTR_Perubahan Corsec Komite Audit Alamat NPWP Internal Audit_31967475_lamp1.pdf,,,,,UNTR melaporkan perubahan corporate secretary yang efektif pada tanggal pemberitahuan
"30 Okt 2025
					17:50:57",Penyampaian Laporan Keuangan Interim Yang Tidak Diaudit [],UNTR,FinancialStatement-2025-III-UNTR.xlsx,FS UNTR 0925.pdf,inlineXBRL.zip,instance.zip,Laporan Perkembangan Usaha 3Q 2025 .pdf,"Laporan keuangan UNTR yang tidak diaudit menunjukkan kinerja keuangan solid dengan perolehan laba bersih mencapai Rp11,48 triliun. Sepanjang periode tersebut, pendapatan usaha perseroan tercatat sebesar Rp100,47 triliun. Selain itu, total aset United Tractors tumbuh dan mencapai Rp178,71 triliun pada akhir periode tersebut"
"30 Okt 2025
					18:29:19",Rencana Pembelian Kembali Saham dalam Kondisi Pasar yang Berfluktuasi Secara Signifikan [],UNTR,20251030_UNTR_Laporan Informasi dan Fakta Material_31980939_lamp1.pdf,,,,,UNTR melaporkan rencana pembelian kembali saham (buyback) dalam kondisi pasar yang berfluktuasi secara signifikan dengan dana sebanyak-banyaknya Rp2.000.000.000.000 menggunakan dana internal guna menjaga stabilitas pasar modal dan meningkatkan nilai bagi pemegang saham
"30 Okt 2025
					18:39:03",Rencana Pembelian Kembali Saham dalam Kondisi Pasar yang Berfluktuasi Secara Signifikan (KOREKSI) [],UNTR,20251030_UNTR_Laporan Informasi dan Fakta Material_31980952_lamp1.pdf,20251030_UNTR_Laporan Informasi dan Fakta Material_31980952_lamp2.pdf,,,,UNTR melaporkan koreksi atas surat keterbukaan informasi sebelumnya mengenai rencana pembelian kembali saham (buyback) dalam kondisi pasar yang berfluktuasi secara signifikan dengan alokasi dana maksimal Rp2.000.000.000.000 dari dana internal perusahaan guna menjaga stabilitas pasar modal serta meningkatkan nilai bagi para pemegang saham
"31 Okt 2025
					00:03:15",Penjelasan atas Pemberitaan Media Massa [],UNTR,20251031_UNTR_Tanggapan atas Permintaan Penjelasan Bursa_31980975_lamp1.pdf,,,,,"UNTR menyampaikan surat penjelasan kepada PT Bursa Efek Indonesia terkait permintaan klarifikasi atas pemberitaan media massa mengenai dakwaan terhadap PT Acset Indonusa yang diduga menerima Rp179,99 miliar dalam kasus korupsi MBZ, dengan melampirkan dokumen penjelasan resmi dari perseroan"
"01 Okt 2025
					09:24:28",Rencana Penyelenggaraan Public Expose - Tahunan [],UNVR,20251001_UNVR_Public Expose_31953469_lamp1.pdf,,,,,UNVR melaporkan rencana penyelenggaraan Public Expose Tahunan yang bertempat di Grha Unilever dengan agenda paparan kinerja perseroan sampai dengan kuartal kedua
"02 Okt 2025
					16:55:58",Laporan Kepemilikan Saham [],UNVR,20251002_UNVR_Pengumuman Bursa_31953911_lamp1.pdf,,,,,UNVR melaporkan perubahan kepemilikan saham yang dialihkan kepada ahli waris sejumlah 205.000 saham
"09 Okt 2025
					17:45:14",Laporan Kepemilikan Saham [],UNVR,20251009_UNVR_Pengumuman Bursa_31966331_lamp1.pdf,,,,,UNVR melaporkan perubahan kepemilikan saham yang dialihkan kepada ahli waris sejumlah 61.500 saham
